time,right_elbow,right_knee,right_hip,left_elbow,left_knee,left_hip
1778165814.8681881,108.40149976290728,141.1456314617425,0.8924549903167506,116.04470158904519,71.61551191439804,22.75690631427428
1778165814.9002275,178.38855903336147,47.76043518252374,53.338327936540004,171.34466571955153,25.358882973036522,26.120461390241648
1778165814.9337199,158.96496591644618,149.70734953642906,151.34153399126396,168.41858867774602,173.15862615595398,175.5285641857475
1778165814.9682522,131.3149325601076,78.00903555065885,85.59327968808846,157.20283423551055,90.4825619145247,78.213437895109
1778165815.0008867,111.08922021816089,24.641568905439254,51.805603609759444,151.46311077050547,64.13669873383834,65.18467388205556
1778165815.032325,157.83258171424566,6.9528239045238935,39.302397291739155,74.84337490938942,16.163860951895945,18.079321136274594
1778165815.065465,92.26925286510607,163.50894864544972,22.735201653908064,1.9396443043111877,112.30575272139795,12.646371820329799
1778165815.095871,115.34343129636785,147.5944646182002,11.183954325769214,76.63949158506058,99.85887305183077,7.267878044776901
1778165815.1271372,160.93900788162506,79.32048091579004,1.804456338400972,140.2132613859963,71.25743771409196,2.2255651428063405
1778165815.1580849,117.27389107962944,166.6145326343091,9.326493722677329,128.36791722978515,107.07047650968555,7.563539645997273
1778165816.432484,24.943322199391226,173.41521058829537,22.781530319445157,137.63477012709097,148.3348607282501,2.767186499699411
1778165816.464544,78.84253155892318,163.31071009946604,19.809088385734057,133.71297256754738,159.47331293062265,7.948093274643218
1778165816.497113,92.8549051799341,172.60638123187692,24.565081755713667,94.60840829122095,137.1761757475582,19.775846719184365
1778165816.5341752,96.67007772102622,165.61245058154938,27.334769973683986,18.90508041453393,106.22428753092211,57.15083557025945
1778165816.570169,174.673309835613,126.19755532118283,82.51986691861579,130.64618260163732,135.21104367515625,54.78883474812905
1778165816.9182286,51.912847842685174,167.98877480692767,173.45371281217265,32.00314200142227,179.0405213644164,167.35528806098748
1778165816.9926813,142.6271477834618,168.11329042979057,177.9771885553769,144.8561288854735,171.60474635494626,165.32599627898907
1778165817.0264893,135.65861024500913,167.2539642479116,164.62407559253037,35.832572598972305,179.805677195685,175.33213446283173
1778165817.05939,66.83584920242333,154.99705595916157,155.0391319145524,53.830340893543536,155.56817684656298,161.78881242990929
1778165817.091925,134.70591696166548,141.29631268316533,155.97207078391432,129.31013994316027,145.49916993185363,169.51925545750584
1778165817.2574365,151.94046668163614,171.41703436134176,147.70611989724478,131.91622383729822,172.69275665979595,153.45796103883632
1778165817.590216,147.19879511246648,172.69941566592615,179.84679217981093,154.7695303423308,173.58863985761462,154.5698581296544
1778165817.6251533,149.20300639300538,176.39143467871537,173.38815877254507,177.338665625559,150.6298093202715,165.65720622814212
1778165817.659689,144.87483609575926,173.90215248809778,174.90600231431816,171.84768513460878,162.47870984547734,171.18580497626203
1778165817.6932752,133.93620167057932,173.9158048890479,177.78342526208544,162.62098927306232,166.46916266890776,178.73290597861785
1778165817.7279482,115.7499082270707,169.44293821131006,176.75199323486163,160.6251217591872,160.94530987632052,172.82201398628553
1778165817.7594619,93.77013523460315,171.3271223713236,179.52464502363765,154.32259164486456,171.341702607582,172.9704653463515
1778165817.7924395,77.16548615172181,173.49309907582514,176.70208078106836,133.2902020385984,175.22667981172268,174.3160479529751
1778165817.825926,71.70724746393776,178.64548934059147,176.2414312414941,143.5902198644097,170.9683301182923,179.5068819934413
1778165817.8595173,66.10561543794942,177.71989280047228,179.20493036570636,121.9190775251521,174.34637861796492,177.30587121034404
1778165817.8910065,58.958610543895865,173.8902817251037,178.97815127888273,145.84751610180714,174.8836702806453,176.60245423991125
1778165817.9245281,55.826396243994246,172.5381699336548,177.91545226122156,138.76811254010326,167.90122307650367,176.4751716104757
1778165817.9553442,74.76228215213487,174.6058417840611,172.0376613102985,145.5115278536321,163.56005710522268,165.0304896748907
1778165817.9862719,68.18595580523544,176.03145050819285,163.34292585961057,90.94973792247866,173.30425952798373,175.87243598817946
1778165818.0175414,108.46879700605736,176.76138908049649,163.43749995385485,109.00829393436017,178.20290142275937,173.78505889322548
1778165818.0499206,66.96436907885898,145.7075827173274,170.40589122585533,94.26148747805614,168.86649976854275,170.55963138579673
1778165818.0802498,88.66838406365109,120.65003813478654,159.29511018896986,114.21240343628605,144.5906695554191,160.4422669271204
1778165818.1142228,47.75834666219926,172.49879798949203,179.76496274283267,111.13454104829471,164.06050207501937,178.23164649785974
1778165818.1453452,40.177117645689556,170.84002918693798,179.53484637153494,115.26561196801984,152.1512239881624,178.8923224773372
1778165818.1774898,21.065557059831658,163.87376027756898,169.85334150654413,117.25017838582374,162.87410491122765,179.91054098069074
1778165818.2099755,12.786778377400237,178.8911650444119,167.98073438673123,128.34007739884333,147.45414857270254,179.59223994789258
1778165818.2414951,2.5263476473403315,172.09147769768265,178.67299169023238,121.0084803075918,150.75769120425213,177.59494540815155
1778165818.2709827,50.43473006481768,171.90699226694014,173.74853475541727,133.70507684671634,157.70728305037045,163.49406963441933
1778165818.3014598,83.96728035601346,149.0653558457283,178.69165602494363,129.41107020483847,164.17979658137492,167.68297785453476
1778165818.334825,111.4260899071268,150.57978727209274,155.75084186303584,147.4602807760381,164.1857257047861,178.13112723287531
1778165818.3671846,66.57385474232828,162.94986816375476,169.4353868836034,53.77236963724358,149.636186409827,171.40325836988015
1778165818.3989532,124.61601484571992,160.84747088752943,168.14990032040845,169.70117570010905,153.99801391400135,172.5873873600369
1778165818.4312823,129.16594090780646,142.12441805683102,151.69791063723645,120.3038938213687,177.25265445018107,154.72972714481097
1778165818.4613032,135.21355713935134,156.83274056092898,155.80509770819307,153.41553648130903,171.41842615390973,157.69040204274094
1778165818.4931147,177.69869516264302,174.53817182335598,177.88303428681843,146.56032731465268,175.53151441650007,154.5093727102263
1778165818.52489,168.39829288978635,169.77039793126406,177.40816485009745,139.76554557744146,179.35855651151368,155.00269858170634
1778165818.5568979,170.69758963829125,166.57320643669527,176.30211446129405,162.41947604456848,172.70106218926355,160.07727411896397
1778165818.5912006,140.02856323564487,164.8986885594353,177.548788248167,133.05311872531664,175.6693345656676,157.0021260105964
1778165818.6260977,148.93453776225263,168.69730422920063,175.4340470885555,148.77740782565493,173.23073255317033,159.66332198884382
1778165820.8754866,136.6624485812122,165.92804844685693,168.0767829654575,57.339881250281415,175.28559712078533,162.40741310061395
1778165820.9073288,139.30813659901995,164.04008269568607,169.42050120713031,73.51965164577771,176.62584784258252,160.95409616018776
1778165820.9374936,81.06627611026308,161.66711889342812,175.23036363565595,35.59400753535802,176.7148468980073,159.85400727411562
1778165820.9685457,51.326624157117564,168.15591021338219,170.7116086275714,36.83295210530621,171.05863874289702,162.93250573425624
1778165821.0014746,51.990947441561644,175.37644157887974,163.47408005158454,30.70611445529836,171.34761818361645,166.4706043189535
1778165821.032875,46.86821084573472,177.55742762807057,157.9155693730703,11.858562765226997,169.32711860040266,169.7759190685096
1778165821.064847,77.04604741117528,177.07419132150497,156.5121862254646,23.115306484807352,159.89929635200647,175.39859507154372
1778165821.0967987,101.83838726014478,179.25156145703411,162.84651648702237,94.1638213695976,153.49908291490533,169.07778348695422
1778165821.132771,113.82722166743578,177.79497402300711,164.92954223422183,65.97100699662334,155.73957737054624,167.1272000628208
1778165821.1678197,123.43648097645391,178.92181968873496,166.58069962346104,115.8343707943416,148.30446894361052,172.86482670932764
1778165821.2005265,123.59206753032048,178.83728568715821,165.93366900661266,116.65931414900723,155.1353545218686,167.26994325705817
1778165821.2331462,133.05457253227854,174.1300416697375,162.94194488090207,131.2180874229947,160.85955072892574,166.63331344309134
1778165821.264773,135.14759910337887,175.19445720971737,163.38614124648652,98.85672268183846,162.220449754418,166.34420686006007
1778165821.2987707,138.38097921714103,178.07670210445798,165.1871238289785,113.39314823303026,167.14542634312974,166.77703136189817
1778165821.332322,145.3482990228215,178.4194125508777,165.40073359802977,140.38062591248868,166.3293796638546,169.57708666948673
1778165821.3659623,172.9493305439988,177.60856600601224,165.75219619373388,160.0229799107482,167.15703271333152,169.25860295290482
1778165821.399841,82.89476187560365,178.88872939155803,165.2146765153195,168.84075599362325,164.01306890541724,174.68459040692693
1778165821.432229,69.4463906790228,178.0082611819407,165.45420489777985,168.80973032461225,168.8027020537603,176.05841565882918
1778165821.4645898,58.48916809894664,178.9811756181789,165.4117941377027,170.48007772846816,172.46991954569472,176.84672217141747
1778165821.496297,55.48648579113796,178.9824361141023,165.00223206242578,172.08885458830665,170.2373042441509,179.24677392294848
1778165821.5268135,58.296386174404134,178.83032616430773,164.96436644867532,178.61585024733643,168.84319469448403,178.35212763006083
1778165821.5577767,112.41272342791537,176.02988537936358,163.73963860630448,178.04849082667232,170.3213383871402,176.57621036132224
1778165821.5891752,151.56502588135197,174.39814133792487,163.89741101346112,178.69770578606511,170.8724641828716,177.959804474466
1778165821.6193852,139.4139990761326,170.73455972359446,158.62063295625566,176.38662816352917,165.25200002332667,177.30416243902783
